timestamp,device_0,device_1,device_2,device_3
1681385698574890374,0,1,0,1
1681385698580164686,0,1,0,1
1681385698582113573,0,1,0,1
1681385698584074409,0,1,0,1
1681385698585709140,0,1,0,1
1681385698587610607,0,1,0,1
1681385698589403556,0,1,0,1
1681385698591140940,0,1,0,1
1681385698592827131,0,1,0,1
1681385698594620912,0,1,0,1
1681385698596570715,0,1,0,1
1681385698598416638,0,1,0,1
1681385698600210388,0,1,0,1
1681385698601998305,0,1,0,1
1681385698603901399,0,1,0,1
1681385698605801809,0,1,0,1
1681385698607762680,0,1,0,1
1681385698609701710,0,1,0,1
1681385698611639669,0,1,0,1
1681385698613593851,0,1,1,1
1681385698615462541,0,1,1,1
1681385698617276271,0,1,1,1
1681385698619105992,0,1,1,1
1681385698620857483,0,1,1,1
1681385698622619485,0,1,1,1
1681385698624399454,0,1,1,1
1681385698626292852,0,1,1,1
1681385698628283707,0,1,1,1
1681385698630238510,0,1,1,1
1681385698632183450,0,1,1,1
1681385698634053051,0,1,1,1
1681385698635979737,0,1,1,1
1681385698637926733,0,1,1,1
1681385698639822169,0,1,1,1
1681385698641695220,0,1,1,1
1681385698643612210,0,1,1,1
1681385698645373780,0,1,1,1
1681385698647180251,0,1,1,1
1681385698649077420,0,1,1,1
1681385698650982038,0,1,1,1
1681385698652878297,0,1,1,1
1681385698654674910,0,1,1,1
1681385698656592109,0,1,1,1
1681385698658429714,0,1,1,1
1681385698660336455,0,1,1,1
1681385698662139419,0,1,1,1
1681385698663964944,0,1,1,1
1681385698665944754,0,1,1,1
1681385698667853385,0,1,1,1
1681385698669882101,0,1,1,1
1681385698671816385,0,1,1,1
1681385698673728685,0,1,1,1
1681385698675636600,0,1,1,1
1681385698677411615,0,1,1,1
1681385698679321119,0,1,1,1
1681385698681167537,0,1,1,1
1681385698683073696,0,1,1,1
1681385698684860008,0,1,1,1
1681385698686807452,0,1,1,1
1681385698688659131,0,1,1,1
1681385698690503896,0,1,1,1
1681385698692343886,0,1,1,1
1681385698694272724,0,1,1,1
1681385698696113018,0,0,1,1
1681385698697951406,0,0,1,1
1681385698699873711,0,0,1,1
1681385698701766237,0,0,1,1
1681385698703649563,0,0,1,1
1681385698705583189,0,0,1,1
1681385698707471364,0,0,1,1
1681385698709402923,0,0,1,1
1681385698711252869,0,0,1,1
1681385698713130179,0,0,1,1
1681385698714795824,0,0,1,1
1681385698716553977,0,0,1,1
1681385698718422002,0,0,1,1
1681385698720213137,0,0,1,1
1681385698722135471,0,0,1,0
1681385698723993578,0,0,1,0
1681385698725939984,0,0,1,0
1681385698727816300,0,0,1,0
1681385698729775509,0,0,1,0
1681385698731754577,0,0,1,0
1681385698733577357,0,0,1,0
1681385698735436680,0,0,1,0
1681385698737161153,0,0,1,0
1681385698739024523,0,0,1,0
1681385698740815238,0,0,1,0
1681385698742787063,0,0,1,0
1681385698744745041,0,0,1,0
1681385698746617684,0,0,1,0
1681385698748519870,0,0,1,0
1681385698750487485,0,0,1,0
1681385698752420932,0,0,1,0
1681385698754258974,0,0,1,0
1681385698756031147,0,0,1,0
1681385698757934341,0,0,1,0
1681385698759744339,0,0,1,0
1681385698761554425,0,0,1,0
1681385698763399859,0,0,1,0
1681385698765213768,0,0,1,0
1681385698767069719,0,0,1,0
1681385698768950681,0,0,1,0
1681385698770956703,0,0,1,0
1681385698772951177,0,0,1,0
1681385698774874033,0,0,1,0
1681385698776674028,0,0,1,0
1681385698778450832,0,0,1,0
1681385698780297946,0,0,0,0
1681385698782041950,0,0,0,0
1681385698783737733,0,0,0,0
1681385698785506027,0,0,0,0
1681385698787286658,0,0,0,0
1681385698789176594,0,0,0,0
1681385698791026297,0,0,0,0
1681385698792851449,0,0,0,0
1681385698794681987,0,0,0,0
1681385698796494546,0,0,0,0
1681385698798424080,0,0,0,0
1681385698800248002,0,0,0,0
1681385698802164196,0,0,0,0
1681385698804018215,0,0,0,0
1681385698805950669,0,0,0,0
1681385698807827095,0,0,0,0
1681385698809774862,0,0,0,0
1681385698811742113,0,0,0,0
1681385698813623303,0,0,0,0
1681385698815565074,0,0,0,0
1681385698817372883,0,0,0,0
1681385698819145958,0,0,0,0
1681385698820908642,0,0,0,0
1681385698822705943,0,0,0,0
1681385698824545202,0,0,0,0
1681385698826491653,0,0,0,0
1681385698828314326,0,0,0,0
1681385698830347694,0,0,0,0
1681385698832237684,0,0,0,0
1681385698834165154,0,0,0,0
1681385698836110548,0,0,0,0
1681385698838070827,0,0,0,0
1681385698839920713,0,0,0,0
1681385698841831660,0,0,0,0
1681385698843653315,0,0,0,0
1681385698845435759,0,0,0,0
1681385698847248393,0,0,0,0
1681385698849076110,0,0,0,0
1681385698850987797,0,0,0,0
1681385698852919027,0,0,0,0
1681385698854739757,0,0,0,0
1681385698856611167,0,0,0,0
1681385698858511478,0,0,0,0
1681385698860366348,0,0,0,0
1681385698862308811,0,0,0,0
1681385698864117546,0,0,0,0
1681385698866045367,0,0,0,0
1681385698867858321,0,0,0,0
1681385698869780503,0,0,0,0
1681385698871802302,0,0,0,0
1681385698873634676,0,0,0,0
1681385698875519650,0,0,0,0
1681385698877281310,0,0,0,0
1681385698879047009,0,0,0,0
1681385698880897268,0,0,0,0
1681385698882749121,0,0,0,0
1681385698884705284,0,0,0,0
1681385698886602342,0,0,0,0
1681385698888563016,0,0,0,0
1681385698890546756,0,0,0,0
1681385698892512426,0,0,0,0
1681385698894459661,0,0,0,0
1681385698896275222,0,0,0,0
1681385698898212321,0,0,0,0
1681385698900057102,0,0,0,0
1681385698901949449,0,0,0,0
1681385698903832199,0,0,0,0
1681385698905776682,0,0,0,0
1681385698907574863,0,0,0,0
1681385698909410564,0,0,0,0
1681385698911305114,0,0,0,0
1681385698913092559,0,0,0,0
1681385698914749668,0,0,0,0
1681385698916468474,0,0,0,0
1681385698918177893,0,0,0,0
1681385698919981326,0,0,0,0
1681385698921727819,0,0,0,0
1681385698923410626,0,0,0,0
1681385698925098885,0,0,0,0
1681385698926787981,0,0,0,0
1681385698928610701,0,0,0,0
1681385698930333119,0,0,0,0
1681385698932038356,0,0,0,0
1681385698933805970,0,0,0,0
1681385698935527337,0,0,0,0
1681385698937224381,0,0,0,0
1681385698938924289,0,0,0,0
1681385698940622231,0,0,0,0
1681385698942337622,0,0,0,0
1681385698944068378,0,0,0,0
1681385698945785706,0,0,0,0
1681385698947579131,0,0,0,0
1681385698949303757,0,0,0,0
1681385698951062083,0,0,0,0
1681385698952798514,0,0,0,0
1681385698954527585,0,0,0,0
1681385698956248704,0,0,0,0
1681385698958118644,0,0,0,0
1681385698959980417,0,0,0,0
1681385698961764085,0,0,0,0
1681385698963566406,0,0,0,0
1681385698965573475,0,0,0,0
1681385698967312327,0,0,0,0
1681385698969128887,0,0,0,0
1681385698970845664,0,0,0,0
1681385698972523605,0,0,0,0
1681385698974192884,0,0,0,0
1681385698975904925,0,0,0,0
1681385698977650491,0,0,0,0
1681385698979485789,0,0,0,0
1681385698981197625,0,0,0,0
1681385698982879083,0,0,0,0
1681385698984747555,0,0,0,0
1681385698986492874,0,0,0,0
1681385698988302616,0,0,0,0
1681385698990240514,0,0,0,0
1681385698992013253,0,0,0,0
1681385698993906258,0,0,0,0
1681385698995681006,0,0,0,0
1681385698997405045,0,0,0,0
1681385698999118911,0,0,0,0
1681385699000857989,0,0,0,0
1681385699002596777,0,0,0,0
1681385699004329586,0,0,0,0
1681385699006090260,0,0,0,0
1681385699007844916,0,0,0,0
1681385699009650113,0,0,0,0
1681385699011494006,0,0,0,0
1681385699013376407,0,0,0,0
1681385699015111563,0,0,0,0
1681385699016864855,0,0,0,0
1681385699018617675,0,0,0,0
1681385699020367200,0,0,0,0
1681385699022118153,0,0,0,0
1681385699023825171,0,0,0,0
1681385699025608008,0,0,0,0
1681385699027300133,0,0,0,0
1681385699029156284,0,0,0,0
1681385699030942706,0,0,0,0
1681385699032941342,0,0,0,0
1681385699034778452,0,0,0,0
1681385699036619956,0,0,0,0
1681385699038281233,0,0,0,0
1681385699039899659,0,0,0,0
1681385699041685938,0,0,0,0
1681385699043351174,0,0,0,0
1681385699045070795,0,0,0,0
1681385699046695203,0,0,0,0
1681385699048384243,0,0,0,0
1681385699050256751,0,0,0,0
1681385699052045804,0,0,0,0
1681385699053938934,0,0,0,0
1681385699055826491,0,0,0,0
1681385699057777121,0,0,0,0
1681385699059665835,0,0,0,0
1681385699061609397,0,0,0,0
1681385699063533696,0,0,0,0
1681385699065280746,0,0,0,0
1681385699067169612,0,0,0,0
1681385699068933269,0,0,0,0
1681385699070950616,0,0,0,0
1681385699072819438,0,0,0,0
1681385699074768727,0,0,0,0
1681385699076598451,0,0,0,0
1681385699078537618,0,0,0,0
1681385699080407408,0,0,0,0
1681385699082336514,0,0,0,0
1681385699084241901,0,0,0,0
1681385699086032522,0,0,0,0
1681385699087919688,0,0,0,0
1681385699089759278,0,0,0,0
1681385699091767841,0,0,0,0
1681385699093751200,0,0,0,0
1681385699095710470,0,0,0,0
1681385699097647370,0,0,0,0
1681385699099531971,0,0,0,0
1681385699101406037,0,0,0,0
1681385699103148011,0,0,0,0
1681385699104910493,0,0,0,0
1681385699106683650,0,0,0,0
1681385699108465482,0,0,0,0
1681385699110364942,0,0,0,0
1681385699112174271,0,0,0,0
1681385699114122710,0,0,0,0
1681385699115963540,0,0,0,0
1681385699117890427,0,0,0,0
1681385699119821393,0,0,0,0
1681385699121678967,0,0,0,0
1681385699123649629,0,0,0,0
1681385699125402633,0,0,0,0
1681385699127296713,0,0,0,0
1681385699129178734,0,0,0,0
1681385699130969061,0,0,0,0
1681385699132812223,0,0,0,0
1681385699134778398,0,0,0,0
1681385699136655072,0,0,0,0
1681385699138641023,0,0,0,0
1681385699140540609,0,0,0,0
1681385699142444195,0,0,0,0
1681385699144374694,0,0,0,0
1681385699146222233,0,0,0,0
1681385699148000698,0,0,0,0
1681385699149862219,0,0,0,0
1681385699151743118,0,0,0,0
1681385699153603708,0,0,0,0
1681385699155598782,0,0,0,0
1681385699157432980,0,0,0,0
1681385699159353105,0,0,0,0
1681385699161197104,0,0,0,0
1681385699163001415,0,0,0,0
1681385699164862940,0,0,0,0
1681385699166634999,0,0,0,0
1681385699168571081,0,0,0,0
1681385699170470535,0,0,0,0
1681385699172359781,0,0,0,0
1681385699174306004,0,0,0,0
1681385699176180814,0,0,0,0
1681385699178118333,0,0,0,0
1681385699180033661,0,0,0,0
1681385699181882173,0,0,0,0
1681385699183796659,0,0,0,0
1681385699185628238,0,0,0,0
1681385699187514011,0,0,0,0
1681385699189253246,0,0,0,0
1681385699191060827,0,0,0,0
1681385699192972870,0,0,0,0
1681385699194760947,0,0,0,0
1681385699196629013,0,0,0,0
1681385699198602285,0,0,0,0
1681385699200428174,0,0,0,0
1681385699202298589,0,0,0,0
1681385699204120657,0,0,0,0
1681385699205966367,0,0,0,0
1681385699207878113,0,0,0,0
1681385699209734816,0,0,0,0
1681385699211711299,0,0,0,0
1681385699213558816,0,0,0,0
1681385699215470775,0,0,0,0
1681385699217250720,0,0,0,0
1681385699219141279,0,0,0,0
1681385699220939116,0,0,0,0
1681385699222761626,0,0,0,0
1681385699224659733,0,0,0,0
1681385699226491879,0,0,0,0
1681385699228385589,0,0,0,0
1681385699230245875,0,0,0,0
1681385699232208590,0,0,0,0
1681385699234083587,0,0,0,0
1681385699235883386,0,0,0,0
1681385699237789140,0,0,0,0
1681385699239661958,0,0,0,0
1681385699241603141,0,0,0,0
1681385699243473355,0,0,0,0
1681385699245340089,0,0,0,0
1681385699247208867,0,0,0,0
1681385699249015452,0,0,0,0
1681385699251045826,0,0,0,0
1681385699252812703,0,0,0,0
1681385699254740952,0,0,0,0
1681385699256584202,0,0,0,0
1681385699258415992,0,0,0,0
1681385699260351378,0,0,0,0
1681385699262229244,0,0,0,0
1681385699264178923,0,0,0,0
1681385699266084433,0,0,0,0
1681385699268045224,0,0,0,0
1681385699269952525,0,0,0,0
1681385699271881868,0,0,0,0
1681385699273713738,0,0,0,0
1681385699275643833,0,0,0,0
1681385699277387914,0,0,0,0
1681385699279114033,0,0,0,0
1681385699280932312,0,0,0,0
1681385699282779391,0,0,0,0
1681385699284685788,0,0,0,0
1681385699286551994,0,0,0,0
1681385699288468034,0,0,0,0
1681385699290416561,0,0,0,0
1681385699292358455,0,0,0,0
1681385699294259481,0,0,0,0
1681385699296167500,0,0,0,0
1681385699297983821,0,0,0,0
