timestamp,device_0,device_1,device_2,device_3
1681289358187483879,0,0,0,0
1681289358192152627,0,0,0,0
1681289358194168934,0,0,0,0
1681289358196199843,0,0,0,0
1681289358198486476,0,0,0,0
1681289358200527200,0,0,0,0
1681289358202307777,0,0,0,0
1681289358204181447,0,0,0,0
1681289358205962804,0,0,0,0
1681289358207751205,0,0,0,0
1681289358209660828,0,0,0,0
1681289358211577175,0,0,0,0
1681289358213405011,0,0,0,0
1681289358215180888,0,0,0,0
1681289358216982371,0,0,0,0
1681289358218895757,0,0,0,0
1681289358220736395,0,0,0,0
1681289358222550296,0,0,0,0
1681289358224393679,0,0,0,0
1681289358226168077,0,0,0,0
1681289358227974233,0,0,0,0
1681289358229894930,0,0,0,0
1681289358231776542,0,0,0,0
1681289358233703052,0,0,0,0
1681289358235511423,0,0,0,0
1681289358237300160,0,0,0,0
1681289358239052957,0,0,0,0
1681289358240941255,0,0,0,0
1681289358242847165,0,0,0,0
1681289358244759880,0,0,0,0
1681289358246711991,0,0,0,0
1681289358248559024,0,0,0,0
1681289358250423482,0,0,0,0
1681289358252329857,0,0,0,0
1681289358254268534,0,0,0,0
1681289358256181854,0,0,0,0
1681289358258073152,0,0,0,0
1681289358260023211,0,0,0,0
1681289358261907985,0,0,0,0
1681289358263767452,0,0,0,0
1681289358265683386,0,0,0,0
1681289358267642485,0,0,0,0
1681289358269428600,0,0,0,0
1681289358271258768,0,0,0,0
1681289358273080285,0,0,0,0
1681289358274779199,0,0,0,0
1681289358276613875,0,0,0,0
1681289358278555155,0,0,0,0
1681289358280460779,0,0,0,0
1681289358282343319,0,0,0,0
1681289358284370715,0,0,0,0
1681289358286281283,0,0,0,0
1681289358288233547,0,0,0,0
1681289358290102979,0,0,0,0
1681289358291881883,0,0,0,0
1681289358293761177,0,0,0,0
1681289358295631299,0,0,0,0
1681289358297556166,0,0,0,0
1681289358299449076,0,0,0,0
1681289358301269422,0,0,0,0
1681289358303140955,0,0,0,0
1681289358304926845,0,0,0,0
1681289358306858787,0,0,0,0
1681289358308709650,0,0,0,0
1681289358310583023,0,0,0,0
1681289358312625411,0,0,0,0
1681289358314483896,0,0,0,0
1681289358316407600,0,0,0,0
1681289358318400894,0,0,0,0
1681289358320248284,0,0,0,0
1681289358322170789,0,0,0,0
1681289358324073925,0,0,0,0
1681289358325927251,0,0,0,0
1681289358327787203,0,0,0,0
1681289358329675409,0,0,0,0
1681289358331447300,0,0,0,0
1681289358333269258,0,0,0,0
1681289358335113441,0,0,0,0
1681289358336849645,0,0,0,0
1681289358338624129,0,0,0,0
1681289358340483827,0,0,0,0
1681289358342368766,0,0,0,0
1681289358344381549,0,0,0,0
1681289358346249222,0,0,0,0
1681289358348166646,0,0,0,0
1681289358350034988,0,0,0,0
1681289358351847562,0,0,0,0
1681289358353773940,0,0,0,0
1681289358355721313,0,0,0,0
1681289358357671532,0,0,0,0
1681289358359586950,0,0,0,0
1681289358361380933,0,0,0,0
1681289358363234393,0,0,0,0
1681289358365009100,0,0,0,0
1681289358366906895,0,0,0,0
1681289358368799053,0,0,0,0
1681289358370736858,0,0,0,0
1681289358372609196,0,0,0,0
1681289358374612590,0,0,0,0
1681289358376394524,0,0,0,0
1681289358378396962,0,0,0,0
1681289358380200730,0,0,0,0
1681289358382016988,0,0,0,0
1681289358383983452,0,0,0,0
1681289358385876745,0,0,0,0
1681289358387790648,0,0,0,0
1681289358389708426,0,0,0,0
1681289358391679885,0,0,0,0
1681289358393515849,0,0,0,0
1681289358395323217,0,0,0,0
1681289358397033958,0,0,0,0
1681289358398952991,0,0,0,0
1681289358400808369,0,0,0,0
1681289358402738468,0,0,0,0
